year,female,male,suicides
1985,32479,83584,116063
1986,33852,86818,120670
1987,35006,91836,126842
1988,33015,88011,121026
1989,41361,118883,160244
1990,50118,143243,193361
1991,49622,148398,198020
1992,51567,159906,211473
1993,51331,170234,221565
1994,51532,180531,232063
1995,54504,189040,243544
1996,54583,192142,246725
1997,54126,186619,240745
1998,55631,193960,249591
1999,56215,199904,256119
2000,55254,200578,255832
2001,52999,197653,250652
2002,55549,200546,256095
2003,55627,200452,256079
2004,53232,187629,240861
2005,52035,182340,234375
2006,52039,181322,233361
2007,53324,180084,233408
2008,53973,181474,235447
2009,54920,188567,243487
2010,54222,184480,238702
2011,54616,181868,236484
2012,53011,177149,230160
2013,51459,171740,223199
2014,51556,171428,222984
2015,47248,156392,203640
2016,3504,12099,15603
